ledger_id,archive_id,proposal_key,proposal_number,title,status,chain,project_id,project_name,proposer,proposal_executed_at,proposal_end_at,proposal_created_at,asset_symbol,asset_name,asset_kind,token_contract,recipient_address,recipient_display_name,amount,valuation_reference_at,valuation_date,usd_price_at_execution,usd_value_at_execution,usd_price_source,usd_valuation_status,source_url,canonical_url
gnars-base-117:1,gnars-base-117,0x9a39225c12c516a3f3c457fda3dae84cdefd032f6c7cd5e005b6ef72b497f99e,117,Sponsor Gnars Monik Santos in QS/WSL 2026,executed,base,gnars-base-117,Sponsor Gnars Monik Santos in QS/WSL 2026,0x25810d1a8b1affc444d5333bf0496f1202d6f89f,2026-03-17T21:26:15.000Z,2026-03-15T02:03:01.000Z,2026-03-08T02:03:01Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x25810d1a8b1affc444d5333bf0496f1202d6f89f,0x2581...f89f,1570.0,2026-03-17T21:26:15+00:00,2026-03-17,1.0,1570.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/117,https://www.gnars.com/proposals/base/117
gnars-base-108:1,gnars-base-108,0x4a754d756f79c1f56519653c4080d49c1d1ededbf009d85ea305b402f4ecc1f3,108,SKATE ACROSS AFRICA (EAST COAST - SOUTH COAST),executed,base,gnars-base-108,SKATE ACROSS AFRICA (EAST COAST - SOUTH COAST),0x8d2a253a5885806aa14e583c80c8833a904fb252,2025-12-03T12:03:05.000Z,2025-11-29T13:13:53.000Z,2025-11-22T13:13:53Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x8d2a253a5885806aa14e583c80c8833a904fb252,0x8d2a...b252,2500.0,2025-12-03T12:03:05+00:00,2025-12-03,1.0,2500.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/108,https://www.gnars.com/proposals/base/108
gnars-base-104:1,gnars-base-104,0xe183aa2c4c209bc17df0f2df71bb0dcf104c06905add455ebc9f1ba68db41902,104,7Capasmag Skate&Jazz Vol 2 - New Nounstacle inauguration in Devconnect ,executed,base,gnars-base-104,7Capasmag Skate&Jazz Vol 2 - New Nounstacle inauguration in Devconnect ,0x9ad8d2a8ef4bf60a667dd43fcb178bdbd93ae1c8,2025-11-13T13:58:51.000Z,2025-11-09T18:49:01.000Z,2025-11-02T18:49:01Z,ETH,Ether,native,,0x9ad8d2a8ef4bf60a667dd43fcb178bdbd93ae1c8,7capas.eth,0.42,2025-11-13T13:58:51+00:00,2025-11-13,3409.614455541162,1432.03807133,coingecko:ethereum,historical-price,https://www.gnars.com/proposals/base/104,https://www.gnars.com/proposals/base/104
gnars-base-101:2,gnars-base-101,0xbd08e256e964c3228edf5434d30ed3830d632535e9d29976b8641f4e6e5795f4,101,Gnars India Initiative: Building Bridges Through Skateboarding,executed,base,gnars-base-101,Gnars India Initiative: Building Bridges Through Skateboarding,0x49d31dcb59e115f5c9e505a58a323ade076f2176,2025-10-16T16:58:39.000Z,2025-10-14T14:45:39.000Z,2025-10-07T14:45:39Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x49d31dcb59e115f5c9e505a58a323ade076f2176,fernandoferreira.eth,2600.0,2025-10-16T16:58:39+00:00,2025-10-16,1.0,2600.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/101,https://www.gnars.com/proposals/base/101
gnars-base-101:1,gnars-base-101,0xbd08e256e964c3228edf5434d30ed3830d632535e9d29976b8641f4e6e5795f4,101,Gnars India Initiative: Building Bridges Through Skateboarding,executed,base,gnars-base-101,Gnars India Initiative: Building Bridges Through Skateboarding,0x49d31dcb59e115f5c9e505a58a323ade076f2176,2025-10-16T16:58:39.000Z,2025-10-14T14:45:39.000Z,2025-10-07T14:45:39Z,ETH,Ether,native,,0x49d31dcb59e115f5c9e505a58a323ade076f2176,fernandoferreira.eth,0.619,2025-10-16T16:58:39+00:00,2025-10-16,3983.154435689423,2465.57259569,coingecko:ethereum,historical-price,https://www.gnars.com/proposals/base/101,https://www.gnars.com/proposals/base/101
gnars-base-99:1,gnars-base-99,0x787e8c217fbb871dde6e4c164f616d9dae47ba3779f3e6ff741ca35ccc6b09e0,99,Gnars Crew at Devconnect Buenos Aires 2025 – Skate + Hacker House,executed,base,gnars-base-99,Gnars Crew at Devconnect Buenos Aires 2025 – Skate + Hacker House,0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d,2025-10-06T13:31:11.000Z,2025-10-03T12:50:33.000Z,2025-09-26T12:50:33Z,ETH,Ether,native,,0x39a7b6fa1597bb6657fe84e64e3b836c37d6f75d,r4topunk,1.0,2025-10-06T13:31:11+00:00,2025-10-06,4515.321391965295,4515.32139197,coingecko:ethereum,historical-price,https://www.gnars.com/proposals/base/99,https://www.gnars.com/proposals/base/99
gnars-base-97:2,gnars-base-97,0x8edf483d084d949ac22121fb243a6657082de4f9f51b6992b65a1534d84f1ca1,97,Pod Media Proposal 3.0,executed,base,gnars-base-97,Pod Media Proposal 3.0,0x2feb329b9289b60064904fa61fc347157a5aed6a,2025-08-31T23:49:21.000Z,2025-08-29T21:20:25.000Z,2025-08-22T21:20:25Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb,0xe5f6...8beb,780.0,2025-08-31T23:49:21+00:00,2025-08-31,1.0,780.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/97,https://www.gnars.com/proposals/base/97
gnars-base-97:1,gnars-base-97,0x8edf483d084d949ac22121fb243a6657082de4f9f51b6992b65a1534d84f1ca1,97,Pod Media Proposal 3.0,executed,base,gnars-base-97,Pod Media Proposal 3.0,0x2feb329b9289b60064904fa61fc347157a5aed6a,2025-08-31T23:49:21.000Z,2025-08-29T21:20:25.000Z,2025-08-22T21:20:25Z,ETH,Ether,native,,0xe5f6202ff7ddc5273c249073865bc6f4d5d68beb,0xe5f6...8beb,1.0,2025-08-31T23:49:21+00:00,2025-08-31,4373.360357620914,4373.36035762,coingecko:ethereum,historical-price,https://www.gnars.com/proposals/base/97,https://www.gnars.com/proposals/base/97
gnars-base-95:1,gnars-base-95,0x4dd4ac362db15656ec5cac3302daea7bc033fc9e6cc99636c22f3a9de7bf4ca9,95,Funding Katwe Parkour Culture to make the DIY Parkour Equipments,executed,base,gnars-base-95,Funding Katwe Parkour Culture to make the DIY Parkour Equipments,0xddd7c01cecdbd0ac633ef7405a60165f731e645f,2025-08-05T19:12:29.000Z,2025-08-02T00:37:01.000Z,2025-07-26T00:37:01Z,USDC,USD Coin,erc20,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xd2d164aea2a354e46ee3cf207899f48e5432b968,0xd2d1...b968,1200.0,2025-08-05T19:12:29+00:00,2025-08-05,1.0,1200.0,stablecoin-parity,stablecoin-parity,https://www.gnars.com/proposals/base/95,https://www.gnars.com/proposals/base/95
gnars-base-91:1,gnars-base-91,0xfd8f50e3a4ae3e4c869f2bdd1403b59d978fad3c09b8771fd0eb31a7df63483e,91,IPFS Reimbursement and Advance for Shared IPFS Infrastructure,executed,base,gnars-base-91,IPFS Reimbursement and Advance for Shared IPFS Infrastructure,0x41cb654d1f47913acab158a8199191d160dabe4a,2025-07-24T12:52:09.000Z,2025-07-21T11:34:45.000Z,2025-07-14T11:34:45Z,TOKEN-4F6047,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,erc20,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,0x41cb654d1f47913acab158a8199191d160dabe4a,0x41cb...be4a,2.06232e+20,2025-07-24T12:52:09+00:00,2025-07-24,0.0,0.0,manual-zero-exclusion,excluded-noncanonical-asset,https://www.gnars.com/proposals/base/91,https://www.gnars.com/proposals/base/91
