archive_id,proposal_number,title,status,chain,created_at,executed_spend_usd,vote_count,voting_power,cost_per_vote_usd,cost_per_voting_power_usd,source_url
gnars-base-101,101,Gnars India Initiative: Building Bridges Through Skateboarding,executed,base,2025-10-07T14:45:39Z,5065.57,19,726.0,266.61,6.977373,https://www.gnars.com/proposals/base/101
gnars-base-104,104,7Capasmag Skate&Jazz Vol 2 - New Nounstacle inauguration in Devconnect ,executed,base,2025-11-02T18:49:01Z,1432.04,16,822.0,89.5,1.742139,https://www.gnars.com/proposals/base/104
gnars-base-108,108,SKATE ACROSS AFRICA (EAST COAST - SOUTH COAST),executed,base,2025-11-22T13:13:53Z,2500.0,24,857.0,104.17,2.917153,https://www.gnars.com/proposals/base/108
gnars-base-117,117,Sponsor Gnars Monik Santos in QS/WSL 2026,executed,base,2026-03-08T02:03:01Z,1570.0,24,1014.0,65.42,1.548323,https://www.gnars.com/proposals/base/117
gnars-base-12,12,Fund the Community and Tech Pods with Sendit,executed,base,2024-04-24T01:24:45Z,11556.22,39,790.0,296.31,14.628129,https://www.gnars.com/proposals/base/12
gnars-base-14,14,Renan Carvalho onboarding proposal,executed,base,2024-05-03T19:46:33Z,1.16,43,922.0,0.03,0.001263,https://www.gnars.com/proposals/base/14
gnars-base-16,16, V2 Gnars Sunset IRL Docuseries Premiere Event,executed,base,2024-05-08T02:15:19Z,3990.0,45,690.0,88.67,5.782609,https://www.gnars.com/proposals/base/16
gnars-base-17,17,Pharra Onboarding Proposal,executed,base,2024-05-25T14:58:51Z,1.02,30,910.0,0.03,0.001118,https://www.gnars.com/proposals/base/17
gnars-base-18,18,Estagirons Onboarding proposal,executed,base,2024-05-27T21:28:03Z,0.94,21,772.0,0.04,0.00122,https://www.gnars.com/proposals/base/18
gnars-base-19,19,Bernardo Nassar Sponsorship Proposal,executed,base,2024-06-01T22:12:53Z,5984.0,31,1028.0,193.03,5.821012,https://www.gnars.com/proposals/base/19
gnars-base-20,20,Fund the Creation of Nounstacles,executed,base,2024-06-05T19:48:09Z,9900.0,33,901.0,300.0,10.987791,https://www.gnars.com/proposals/base/20
gnars-base-21,21,Mauricio Nava Onboarding ,executed,base,2024-06-17T00:52:01Z,0.94,23,920.0,0.04,0.001022,https://www.gnars.com/proposals/base/21
gnars-base-22,22,Onboarding Arthur Guedes,executed,base,2024-07-05T14:47:13Z,1.07,33,783.0,0.03,0.00136,https://www.gnars.com/proposals/base/22
gnars-base-23,23,Bring Thats Gnarly Onchain,executed,base,2024-07-11T22:43:35Z,7500.0,24,836.0,312.5,8.971292,https://www.gnars.com/proposals/base/23
gnars-base-24,24,Make Bless The First Skateshop Gnarly ,executed,base,2024-07-17T05:32:49Z,12000.0,32,879.0,375.0,13.651877,https://www.gnars.com/proposals/base/24
gnars-base-25,25,Sculpture NOGGLES RAIL at Medellin Colombia,executed,base,2024-07-18T23:33:23Z,3142.02,30,1174.0,104.73,2.676339,https://www.gnars.com/proposals/base/25
gnars-base-26,26,Establish the Pod Media,executed,base,2024-07-19T23:42:01Z,8085.0,33,1246.0,245.0,6.488764,https://www.gnars.com/proposals/base/26
gnars-base-27,27,PATINAJE TOTAL Y GNARS AT WRG 2024 ITALY,executed,base,2024-07-27T17:56:29Z,1932.5,26,1134.0,74.33,1.704148,https://www.gnars.com/proposals/base/27
gnars-base-28,28,Travel Grant Proposal - IndoGNARS 2,executed,base,2024-07-28T23:02:39Z,7888.0,32,1306.0,246.5,6.039816,https://www.gnars.com/proposals/base/28
gnars-base-29,29,1 Year Sponsorship for Tom Rohrer - Toms Tutorials,executed,base,2024-08-01T21:16:57Z,13555.03,25,1300.0,542.2,10.426946,https://www.gnars.com/proposals/base/29
gnars-base-31,31,Onboarding Humberto Peres with 1 airdropped gnar,executed,base,2024-08-06T15:49:35Z,1.07,17,862.0,0.06,0.001236,https://www.gnars.com/proposals/base/31
gnars-base-32,32, Gnarly TPM Shredder Team,executed,base,2024-08-09T21:47:57Z,16116.0,23,1198.0,700.7,13.452421,https://www.gnars.com/proposals/base/32
gnars-base-33,33,Noggles Rail debut in London UK,executed,base,2024-08-11T02:52:19Z,4809.08,22,1138.0,218.59,4.225902,https://www.gnars.com/proposals/base/33
gnars-base-37,37,Fund Travel Costs to Deliver 6K in Donated Skateboarding Materials to Uganda Skateboarding Collectives  --No Funds Spent on Donations-- ,executed,base,2024-08-14T02:53:51Z,7870.0,30,1269.0,262.33,6.201734,https://www.gnars.com/proposals/base/37
gnars-base-38,38,Retro ramp of Mexico can be gnarlier,executed,base,2024-08-14T16:25:57Z,1190.17,29,1344.0,41.04,0.885544,https://www.gnars.com/proposals/base/38
gnars-base-39,39,Gnars in DEVcon Thai Adventure ,executed,base,2024-08-15T14:10:37Z,11800.0,43,1385.0,274.42,8.519856,https://www.gnars.com/proposals/base/39
gnars-base-40,40,Gnars Wakeboarding Culture,executed,base,2024-08-31T16:15:57Z,6850.0,18,810.0,380.56,8.45679,https://www.gnars.com/proposals/base/40
gnars-base-41,41,SKATE AND JAZZ - 1st Noggles Rail in Argentina,executed,base,2024-09-18T15:18:53Z,3000.0,24,678.0,125.0,4.424779,https://www.gnars.com/proposals/base/41
gnars-base-42,42, Rodrigo Panajotti Onboarding Proposal ,executed,base,2024-09-21T18:12:25Z,1.09,20,633.0,0.05,0.001723,https://www.gnars.com/proposals/base/42
